articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT_10-07-2015,1,1,df,0,MATCH,NA
EXT_10-07-2015,738,738,df,0,MATCH,NA
EXT_10-07-2015,7.44,7.99,F,7.392473118279567,MINOR_ERROR,NA
EXT_10-07-2015,<.01,0.0048249587815119245,p,NA,MATCH,TRUE
EXT_10-07-2015,0.01,0.01,other,0,MATCH,NA
EXT_10-07-2015,1,1,df,0,MATCH,NA
EXT_10-07-2015,738,738,df,0,MATCH,NA
EXT_10-07-2015,47.67,47.67,F,0,MATCH,NA
EXT_10-07-2015,<.001,1.0902880931216736e-11,p,NA,MATCH,TRUE
EXT_10-07-2015,0.06,0.06,other,0,MATCH,NA
EXT_10-07-2015,1,1,df,0,MATCH,NA
EXT_10-07-2015,738,738,df,0,MATCH,NA
EXT_10-07-2015,0.02,0.02,F,0,MATCH,NA
EXT_10-07-2015,>.88,0.8867030887023015,p,NA,MATCH,TRUE
EXT_10-07-2015,<.001,2.7524702345033274e-5,other,NA,MATCH,TRUE
EXT_10-07-2015,2.76,2.73,mean,1.0869565217391235,MINOR_ERROR,NA
EXT_10-07-2015,0.03,0.03,se,0,MATCH,NA
EXT_10-07-2015,2.87,2.84,mean,1.0452961672473953,MINOR_ERROR,NA
EXT_10-07-2015,0.03,0.03,se,0,MATCH,NA
EXT_10-07-2015,0.03,0.03,ci,0,MATCH,NA
EXT_10-07-2015,0.2,0.2,ci,0,MATCH,NA
EXT_10-07-2015,2.96,2.96,mean,0,MATCH,NA
EXT_10-07-2015,0.03,0.03,se,0,MATCH,NA
EXT_10-07-2015,2.67,2.67,mean,0,MATCH,NA
EXT_10-07-2015,0.03,0.03,se,0,MATCH,NA
EXT_10-07-2015,0.21,0.21,ci,0,MATCH,NA
EXT_10-07-2015,0.37,0.37,ci,0,MATCH,NA
